LOOKUP_ID,FUND_IN_UNIVERSE,UNCOVERED_FUNDS,FUND_FINANCED_CARBON_EMISSIONS,FUND_FINANCED_CARBON_EMISSIONS_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN_COV,FUND_FOSS_FUEL_SECT_EXP_PCT,FUND_FOSSIL_FUEL_REVENUES_PCT,FUND_GREEN_REVENUES_PCT,FUND_GREEN_FFB_REV_RATIO,FUND_OIL_GAS_ANY_TIE,FUND_EXP_TO_OG_REV_REFINING,FUND_THERMAL_COAL_ANY_TIE,FUND_WEIGHTED_AVG_CARBON_INTEN,FUND_WEIGHTED_AVG_CARBON_INTEN_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF_COV,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN_COVERAGE,FUND_IMPLIED_TEMP_RISE_OVERSHOOT,FUND_IMPLIED_TEMP_RISE_BUDGET,FUND_IMPLIED_TEMP_RISE,FUND_IMPLIED_TEMP_RISE_COVERAGE,FUND_PERC_LOW_CARB_VALUE_COV,FUND_CBN_LCT_MGMT_SCORE_QUART_1,FUND_CARBON_EMISSIONS_CLEANER_ENERGY_SOURCES,FUND_PERC_LOW_CARB_VALUE
UFD000000001310719,FALSE,TRUE,218.9349614,43.52081924,1278.444633,43.33829837,1493.614438,43.33829837,215.1698044,43.33829837,13.07267265,1.60835219,6.04356168,3.757610875,8.344722342,0,5.7645076,350.3567249,43.52081924,2047.726999,43.52081924,2355.381468,43.52081924,307.6544696,43.52081924,788.8396026,0.640802195,49744.32621,18836.25626,4.3,43.33829837,11.56962426,10.68318856,39.8566211,11.10390287
UFD000000001308030,FALSE,TRUE,169.3062654,9.731626772,909.5203542,9.687130215,1109.208669,9.687130215,199.6883152,9.687130215,3.326535803,0.81046902,0.45963232,0.567118926,2.983444002,0.21913188,0.90889142,396.5509849,10.19831607,1201.848351,10.2186059,1497.977271,10.2186059,296.1289203,10.2186059,788.2888891,27.39870007,37198.56088,18162.7322,3.8,9.68733164,2.228611467,2.789300484,8.294880872,14.6173542
UFD000000001531901,FALSE,TRUE,111.3623782,50.53459868,345.1202105,49.42342312,530.0413305,49.42342312,184.9211199,49.42342312,4.887758868,1.88420414,1.66649845,0.884457482,4.328096826,0.47996261,1.420822275,219.5689694,51.67935279,521.9672755,50.14908016,809.9069778,50.14908016,287.9397023,50.14908016,156.2009273,0.01382998,-26526.24634,55786.31352,1.7,49.59808872,26.12055017,18.28951214,43.67048823,7.74312561
UFD000000001570916,TRUE,TRUE,62.53894097,98.85145797,252.4809214,96.5681261,397.5757156,96.5681261,145.0947943,96.5681261,11.57492066,3.79878845,5.15249492,1.35635216,11.57492066,2.35974603,2.657571646,142.4836855,99.11322529,316.9130161,96.82942136,615.1390246,96.82942136,298.2260085,96.82942136,193.2935587,0.002036172,-1855.799675,12269.88572,1.9,96.56815765,81.55903382,69.77944758,99.10075887,10.39079533
UFD000000227862195,TRUE,TRUE,101.4220359,55.58211116,774.0267058,55.0979102,914.9721915,55.0979102,140.9454857,55.0979102,15.63773128,5.69617751,2.07865919,0.364921772,15.09433019,1.20054856,3.197806396,368.8046554,60.43012086,1020.625254,60.18862038,1285.538793,60.18862038,264.9135396,60.18862038,642.1442407,12.10952422,19616.07336,13011.67318,3.3,55.12921026,42.78568557,26.42105284,50.07980016,7.49805119
UFD000000001505859,FALSE,TRUE,33.9299729,92.15718174,39.64619573,89.99589699,154.5986822,89.99589699,114.9524865,89.99589699,0,0,1.32480608,null,0,0,0,168.4445779,93.54040398,125.6891432,92.7911586,474.416473,92.7911586,348.7273298,92.7911586,null,0,4604.489777,6646.18841,2.6,90.5818453,83.569677,15.00411902,42.08261551,5.60434413
UFD000000001498592,TRUE,TRUE,76.41032503,37.8142902,355.4022561,37.53189602,494.4414625,37.53189602,139.0392063,37.53189602,5.820688644,1.79781028,1.45934639,0.81173548,5.711850214,0.98769876,1.670279144,121.8207159,41.8685492,540.2332084,41.10190289,779.4890761,41.10190289,239.2558678,41.10190289,352.6728611,41.68802432,5383.473706,13081.88944,2.4,37.36519221,30.29925452,27.88848029,40.46909423,7.91612645
UFD000000001542750,TRUE,TRUE,44.41468828,55.70865033,240.5979796,55.41012318,339.73465,55.41012318,99.13667041,55.41012318,5.395990071,1.88991814,3.16484963,1.674596144,5.301622225,0.73387456,1.038009496,109.3082912,59.59813744,439.8487191,59.53667126,677.7097097,59.53667126,237.8609906,59.53667126,376.4649275,23.18005185,4249.547915,9409.662255,2.4,55.4071622,45.02989869,40.0636512,55.08670593,6.91030217
UFD000000001547075,FALSE,TRUE,3.66214867,52.65510531,8.57366478,44.36358873,22.18419299,44.36358873,13.61052821,44.36358873,0,0,0.90211871,null,0,0,0,56.19050655,58.12121624,173.6088085,58.12121624,481.8967792,58.12121624,308.2879707,58.12121624,829.2975619,3.505707011,380.3191875,1178.76994,2.3,52.65510531,29.16015832,0,0,1.19803522
UFD000000267524452,TRUE,TRUE,105.2773157,86.6449403,429.6641344,86.6449403,639.8944163,86.6449403,210.2302819,86.6449403,9.125889647,1.66095813,6.93720737,4.176629889,7.687288223,1.48349948,4.004187444,213.8105181,86.6449403,653.1504071,86.6449403,956.2110408,86.6449403,303.0606337,86.6449403,788.8396026,4.687196692,19601.81338,12260.84573,3.3,86.6449403,17.59059231,18.28618144,77.85878105,4.93841413
UFD000000267532511,TRUE,TRUE,128.2358496,90.55849056,1046.592086,89.93818994,1334.545296,89.93818994,287.9532093,89.93818994,9.901609902,1.09747401,5.50193719,5.013273335,7.457307457,0.75327954,6.910606911,159.9531036,90.59369059,552.8456559,90.59369059,879.3508063,90.59369059,326.5051504,90.59369059,null,0,21044.02544,22013.59089,2.8,90.55849056,75.06957507,19.70721971,77.38857739,9.84787146
UFD000000242114557,TRUE,TRUE,31.06690283,98.1708159,333.007338,98.1708159,437.1452701,98.1708159,104.1379322,98.1708159,10.94433283,6.53824638,5.43861426,0.831815436,10.94433283,0,3.708511126,79.67379352,98.5584819,641.5657984,98.5584819,877.1972371,98.5584819,235.6314387,98.5584819,255.8351627,0.098157226,2604.086741,11278.54006,2.2,98.1708159,81.26476518,59.69156424,95.75017242,4.02671149
UFD000000267537624,FALSE,TRUE,10.84253172,3.996088012,132.554677,3.996088012,211.5508881,3.996088012,78.99621115,3.996088012,0,0,0.21773989,null,0,0,0,38.3049273,3.996088012,394.3679672,3.996088012,638.021059,3.996088012,243.6530919,3.996088012,829.2975619,5.6334831,4816.738935,8061.924795,2.5,3.996088012,0.859697421,0.509698471,1.986394041,4.62740773
UFD000000308828364,FALSE,TRUE,null,0,null,0,null,0,null,0,0,0,0,null,0,0,0,null,0,null,0,null,0,null,0,788.8396026,6.07922507,null,null,null,null,0,0,0,null
UFD000000308410529,FALSE,TRUE,null,0,null,0,null,0,null,0,0,0,0,null,0,0,0,5.4798422,23.34532335,2765.108746,18.67011867,2873.7447,18.67011867,108.6359545,18.67011867,null,0,null,null,null,null,0,0,0,null
