,Month-Year,Temperature,Rainfall
122,MAR-1990.0,22.79,47.458333333333336
123,APR-1990.0,26.15,45.41111111111111
124,MAY-1990.0,27.71,151.6138888888889
125,JUN-1990.0,28.11,244.5055555555556
126,JUL-1990.0,27.06,338.93611111111113
127,AUG-1990.0,26.99,339.23333333333335
128,SEP-1990.0,26.55,210.69722222222222
129,OCT-1990.0,24.51,117.83333333333333
130,NOV-1990.0,22.08,43.61666666666667
131,DEC-1990.0,19.78,23.458333333333332
132,JAN-1991.0,17.99,12.394444444444444
133,FEB-1991.0,20.43,21.1
134,MAR-1991.0,23.58,25.444444444444443
135,APR-1991.0,26.13,50.72777777777778
136,MAY-1991.0,28.35,83.90277777777777
137,JUN-1991.0,28.17,262.59166666666664
138,JUL-1991.0,27.59,351.7111111111111
139,AUG-1991.0,26.88,296.92777777777775
140,SEP-1991.0,26.65,160.175
141,OCT-1991.0,24.56,80.98888888888888
142,NOV-1991.0,21.6,34.44444444444444
143,DEC-1991.0,19.44,19.827777777777776
144,JAN-1992.0,18.36,18.266666666666666
145,FEB-1992.0,19.77,18.352777777777778
146,MAR-1992.0,22.95,21.211111111111112
147,APR-1992.0,26.21,23.77777777777778
148,MAY-1992.0,27.75,72.84444444444445
149,JUN-1992.0,28.4,201.03611111111113
150,JUL-1992.0,27.31,323.78055555555557
151,AUG-1992.0,26.78,330.4138888888889
152,SEP-1992.0,26.11,180.45277777777778
153,OCT-1992.0,24.7,80.15555555555555
154,NOV-1992.0,22.01,50.07222222222222
155,DEC-1992.0,19.42,4.805555555555555
156,JAN-1993.0,18.37,16.01111111111111
157,FEB-1993.0,20.84,22.477777777777778
158,MAR-1993.0,22.71,38.87222222222223
159,APR-1993.0,26.5,30.602777777777778
160,MAY-1993.0,28.73,84.45277777777778
161,JUN-1993.0,28.5,213.89444444444445
162,JUL-1993.0,27.24,379.14444444444445
163,AUG-1993.0,27.29,239.90277777777777
164,SEP-1993.0,26.34,229.8388888888889
165,OCT-1993.0,24.88,116.51666666666668
166,NOV-1993.0,22.2,40.150000000000006
167,DEC-1993.0,19.55,19.072222222222223
168,JAN-1994.0,19.33,21.275
169,FEB-1994.0,20.2,27.424999999999997
170,MAR-1994.0,24.14,29.22222222222222
171,APR-1994.0,26.04,54.16111111111111
172,MAY-1994.0,28.72,70.02777777777777
173,JUN-1994.0,28.56,263.35
174,JUL-1994.0,27.34,408.2555555555556
175,AUG-1994.0,27.01,310.65277777777777
176,SEP-1994.0,26.31,172.35833333333335
177,OCT-1994.0,24.56,102.95555555555556
178,NOV-1994.0,22.06,34.68888888888889
179,DEC-1994.0,19.3,12.480555555555556
180,JAN-1995.0,19.18,33.18055555555556
181,FEB-1995.0,21.48,25.833333333333332
182,MAR-1995.0,24.26,25.533333333333335
183,APR-1995.0,27.23,40.91111111111111
184,MAY-1995.0,29.34,103.14166666666667
185,JUN-1995.0,29.88,196.85555555555555
186,JUL-1995.0,27.8,387.30277777777775
187,AUG-1995.0,27.4,314.8611111111111
188,SEP-1995.0,27.15,217.67777777777778
189,OCT-1995.0,26.0,94.82777777777778
190,NOV-1995.0,22.99,53.19722222222222
191,DEC-1995.0,20.65,7.727777777777778
192,JAN-1996.0,19.81,21.211111111111112
193,FEB-1996.0,21.73,21.461111111111112
194,MAR-1996.0,25.13,27.455555555555556
195,APR-1996.0,26.67,35.46944444444445
196,MAY-1996.0,28.37,70.37777777777778
197,JUN-1996.0,28.08,236.6277777777778
198,JUL-1996.0,27.42,329.1388888888889
199,AUG-1996.0,26.77,312.6694444444445
200,SEP-1996.0,26.64,182.43333333333334
201,OCT-1996.0,24.5,117.5
202,NOV-1996.0,21.81,21.355555555555554
203,DEC-1996.0,18.96,24.48611111111111
204,JAN-1997.0,17.86,12.658333333333333
205,FEB-1997.0,19.88,9.63888888888889
206,MAR-1997.0,23.64,27.930555555555557
207,APR-1997.0,25.55,45.150000000000006
208,MAY-1997.0,27.86,60.12222222222223
209,JUN-1997.0,28.33,226.375
210,JUL-1997.0,28.01,368.1305555555556
211,AUG-1997.0,27.27,304.2888888888889
212,SEP-1997.0,26.81,172.61944444444444
213,OCT-1997.0,24.48,69.85
214,NOV-1997.0,22.05,69.57222222222222
215,DEC-1997.0,19.31,49.858333333333334
216,JAN-1998.0,18.84,15.483333333333333
217,FEB-1998.0,20.6,27.177777777777777
218,MAR-1998.0,22.98,42.29444444444445
219,APR-1998.0,27.0,40.672222222222224
220,MAY-1998.0,29.18,70.20833333333333
221,JUN-1998.0,28.88,239.84166666666664
222,JUL-1998.0,27.78,345.40555555555557
223,AUG-1998.0,27.42,293.0833333333333
224,SEP-1998.0,26.7,240.26944444444447
225,OCT-1998.0,25.27,143.60833333333332
226,NOV-1998.0,22.48,49.40277777777778
227,DEC-1998.0,19.21,19.327777777777776
228,JAN-1999.0,18.32,15.791666666666666
229,FEB-1999.0,21.26,10.56388888888889
230,MAR-1999.0,24.18,9.219444444444443
231,APR-1999.0,27.66,30.033333333333335
232,MAY-1999.0,28.13,131.50555555555556
233,JUN-1999.0,27.95,231.3861111111111
234,JUL-1999.0,27.58,344.40833333333336
235,AUG-1999.0,27.08,242.72222222222223
236,SEP-1999.0,26.9,192.63611111111112
237,OCT-1999.0,24.97,149.55277777777778
238,NOV-1999.0,22.33,21.59722222222222
239,DEC-1999.0,19.57,8.633333333333333
240,JAN-2000.0,18.87,19.033333333333335
241,FEB-2000.0,19.78,27.75142857142857
242,MAR-2000.0,23.22,22.922222222222224
243,APR-2000.0,27.27,47.363888888888894
244,MAY-2000.0,28.92,106.33055555555556
245,JUN-2000.0,28.02,246.0222222222222
246,JUL-2000.0,27.34,301.725
247,AUG-2000.0,26.98,279.7388888888889
248,SEP-2000.0,26.53,159.0388888888889
249,OCT-2000.0,25.58,63.541666666666664
250,NOV-2000.0,22.75,19.869444444444444
251,DEC-2000.0,19.66,11.877777777777778
252,JAN-2001.0,18.5,9.994444444444445
253,FEB-2001.0,21.0,10.941666666666666
254,MAR-2001.0,24.12,24.697222222222223
255,APR-2001.0,26.9,53.577777777777776
256,MAY-2001.0,29.46,98.44166666666666
257,JUN-2001.0,28.13,262.4777777777778
258,JUL-2001.0,27.63,305.9611111111111
259,AUG-2001.0,27.62,242.80833333333334
260,SEP-2001.0,26.86,136.4888888888889
261,OCT-2001.0,25.49,119.57222222222224
262,NOV-2001.0,22.51,29.28888888888889
263,DEC-2001.0,19.55,8.469444444444443
264,JAN-2002.0,18.78,16.544444444444444
265,FEB-2002.0,20.52,19.663888888888888
266,MAR-2002.0,24.44,24.56388888888889
267,APR-2002.0,27.66,48.641666666666666
268,MAY-2002.0,29.56,85.84722222222223
269,JUN-2002.0,28.77,224.17222222222222
270,JUL-2002.0,28.47,184.23611111111111
271,AUG-2002.0,27.27,276.9166666666667
272,SEP-2002.0,26.43,152.82222222222222
273,OCT-2002.0,25.44,80.61388888888888
274,NOV-2002.0,23.17,26.561111111111114
