,Month-Year,Temperature
213,OCT-1987.0,25.03
214,NOV-1987.0,22.14
215,DEC-1987.0,19.75
216,JAN-1988.0,18.58
217,FEB-1988.0,20.83
218,MAR-1988.0,23.51
219,APR-1988.0,26.6
220,MAY-1988.0,28.6
221,JUN-1988.0,28.37
222,JUL-1988.0,27.12
223,AUG-1988.0,26.91
224,SEP-1988.0,26.48
225,OCT-1988.0,24.79
226,NOV-1988.0,21.63
227,DEC-1988.0,19.64
228,JAN-1989.0,17.68
229,FEB-1989.0,19.85
230,MAR-1989.0,23.0
231,APR-1989.0,25.95
232,MAY-1989.0,28.13
233,JUN-1989.0,27.72
234,JUL-1989.0,26.96
235,AUG-1989.0,26.86
236,SEP-1989.0,26.38
237,OCT-1989.0,24.84
238,NOV-1989.0,21.8
239,DEC-1989.0,19.23
240,JAN-1990.0,18.56
241,FEB-1990.0,20.33
242,MAR-1990.0,22.79
243,APR-1990.0,26.15
244,MAY-1990.0,27.71
245,JUN-1990.0,28.11
246,JUL-1990.0,27.06
247,AUG-1990.0,26.99
248,SEP-1990.0,26.55
249,OCT-1990.0,24.51
250,NOV-1990.0,22.08
251,DEC-1990.0,19.78
252,JAN-1991.0,17.99
253,FEB-1991.0,20.43
254,MAR-1991.0,23.58
255,APR-1991.0,26.13
256,MAY-1991.0,28.35
257,JUN-1991.0,28.17
258,JUL-1991.0,27.59
259,AUG-1991.0,26.88
260,SEP-1991.0,26.65
261,OCT-1991.0,24.56
262,NOV-1991.0,21.6
263,DEC-1991.0,19.44
264,JAN-1992.0,18.36
265,FEB-1992.0,19.77
266,MAR-1992.0,22.95
267,APR-1992.0,26.21
268,MAY-1992.0,27.75
269,JUN-1992.0,28.4
270,JUL-1992.0,27.31
271,AUG-1992.0,26.78
272,SEP-1992.0,26.11
273,OCT-1992.0,24.7
274,NOV-1992.0,22.01
275,DEC-1992.0,19.42
276,JAN-1993.0,18.37
277,FEB-1993.0,20.84
278,MAR-1993.0,22.71
279,APR-1993.0,26.5
280,MAY-1993.0,28.73
281,JUN-1993.0,28.5
282,JUL-1993.0,27.24
283,AUG-1993.0,27.29
284,SEP-1993.0,26.34
285,OCT-1993.0,24.88
286,NOV-1993.0,22.2
287,DEC-1993.0,19.55
